date,delay,distance,origin,destination
01010910,-1,1442,SMF,MCI
01010910,-10,487,MSY,TPA
01010910,-18,304,PHX,SAN
01010910,-2,304,SAN,PHX
01010910,-2,371,OAK,SNA
01010910,-23,1671,MSY,LAX
01010910,-4,347,ELP,PHX
01010910,-8,361,ONT,OAK
01010910,0,1235,HOU,LAS
01010913,0,444,PDX,RNO
01010913,0,451,IND,MCI
01010913,12,666,JAN,MDW
01010915,-10,308,LAX,SJC
01010915,-4,189,AUS,DAL
01010915,-5,276,HRL,HOU
01010915,-5,333,ONT,SJC
01010915,-7,410,STL,BHM
01010915,-8,651,SFO,PHX
01010915,-9,440,DTW,STL
01010915,4,296,DAL,LIT
01010918,9,570,BHM,HOU
01010920,-1,283,BDL,BWI
01010920,-2,325,ONT,PHX
01010920,-5,446,OAK,SAN
01010920,-7,588,BWI,BNA
01010920,0,407,OAK,LAS
01010920,2,543,OAK,PDX
01010922,4,937,MDW,HOU
01010924,14,2106,LAS,BWI
01010925,-1,180,OAK,RNO
01010925,-13,281,BWI,BUF
01010925,-17,1489,MCI,SEA
01010925,-23,1073,MCO,PVD
01010925,-27,1977,BNA,SEA
01010925,-4,237,TUL,DAL
01010925,-7,288,ALB,BWI
01010925,3,303,MSY,HOU
01010925,4,358,SMF,BUR
01010925,5,487,ABQ,LAS
01010930,-10,325,BUR,OAK
01010930,-12,239,HOU,DAL
01010930,-16,1137,TPA,PVD
01010930,-2,1044,MCI,PHX
01010930,-2,1751,BNA,ONT
01010930,-5,239,DAL,HOU
01010930,-5,370,PHX,LAX
01010930,-6,1140,LAS,MCI
01010930,-8,369,BUR,PHX
01010930,-9,670,HOU,BNA
01010930,0,281,BUF,BWI
01010930,12,314,CLE,BWI
01010930,2,935,TUL,PHX
01010930,3,405,MCI,MDW
01010930,8,580,DAL,ABQ
01010933,13,283,BWI,BDL
01010935,-4,762,LAS,PDX
01010935,-5,236,LAX,LAS
01010935,0,682,BHM,BWI
01010935,3,471,BNA,MSY
01010935,5,371,SNA,OAK
01010937,13,829,CMH,TPA
01010938,-4,671,OAK,SEA
01010938,8,1242,AUS,LAX
01010939,18,513,JAX,MSY
01010939,36,1751,BNA,SAN
01010940,-10,328,PVD,BWI
01010940,-3,223,LAS,BUR
01010940,-6,307,CLE,MDW
01010940,-7,1772,LAS,CMH
01010940,0,325,OAK,BUR
01010940,0,612,TPA,BNA
01010941,-3,188,RNO,SJC
01010942,16,632,MDW,RDU
01010945,-10,303,HOU,MSY
01010945,-18,1301,PHX,MSY
01010945,-2,296,SJC,BUR
01010945,-21,632,RDU,MDW
01010945,-25,1489,MCI,OAK
01010945,-5,1479,MCI,SJC
01010945,-5,180,RNO,OAK
01010945,-8,419,OKC,HOU
01010945,0,293,DAL,LBB
01010945,10,291,SLC,BOI
01010945,4,663,BWI,JAX
01010945,7,907,BNA,PVD
01010946,8,1137,PVD,TPA
01010947,6,319,MAF,DAL
01010948,27,479,SMF,PDX
01010948,3,1301,MSY,PHX
01010948,7,590,LAX,SLC
01010950,-10,325,PHX,ONT
01010950,-12,1588,LAS,BNA
01010950,-12,601,PHX,RNO
01010950,-21,1448,PHX,BNA
01010950,-28,1618,LAS,BHM
01010950,-5,304,SAN,PHX
01010950,-5,462,OKC,STL
01010950,-5,520,LAS,BOI
01010950,6,324,AMA,DAL
01010953,18,687,HOU,STL
01010954,4,223,MCI,TUL
01010955,-15,714,ELP,LAX
01010955,-19,1363,MCI,LAX
01010955,-3,1107,PHX,SEA
01010955,-7,446,SAN,OAK
01010955,-7,647,SMF,PHX
01010955,-7,775,LAS,LBB
01010955,0,842,BWI,TPA
01010955,1,828,MCO,IND
01010955,77,279,PDX,GEG
01010956,13,515,BWI,IND
01011000,-1,687,HOU,STL
01011000,-10,605,SEA,SMF
01011000,-10,677,ABQ,LAX
01011000,-11,513,MSY,JAX
01011000,-15,337,OAK,LAX
01011000,-2,223,BUR,LAS
01011000,-5,1521,LAS,MDW
01011000,-5,397,LAS,SMF
01011000,-6,369,PHX,BUR
01011000,0,229,MDW,DTW
01011000,0,236,LAS,LAX
01011000,10,1501,MSY,LAS
01011000,5,727,SDF,TPA
01011000,9,888,JAN,BWI
01011003,18,630,SLC,PDX
01011005,-1,229,DTW,MDW
01011005,-5,197,ONT,LAS
01011005,-7,584,ELP,LAS
01011005,-9,217,IAH,DAL
01011006,-12,1670,BWI,ABQ
01011008,16,256,LAS,PHX
01011010,-1,507,SLC,PHX
01011010,-2,422,SLC,RNO
01011010,-21,569,PDX,SJC
01011010,-3,342,SJC,SNA
01011010,-3,361,OAK,ONT
01011010,-5,636,SAN,ELP
01011010,-6,251,MDW,STL
01011010,-6,386,SJC,LAS
01011010,0,341,AUS,LBB
01011010,18,588,SLC,OAK
01011010,2,303,MSY,HOU
01011015,-5,178,FLL,MCO
01011015,-5,373,LAX,SMF
01011015,-6,528,AUS,ELP
01011015,-8,1262,STL,PHX
01011015,12,1040,MCO,SAT
01011015,5,417,SJC,SAN
01011015,8,370,LAX,PHX
01011016,6,220,ISP,BWI
01011016,7,237,MCI,STL
01011017,12,181,OKC,DAL
01011020,-15,1140,MCI,LAS
01011020,-20,1552,ABQ,MCO
01011020,-3,833,PHX,OKC
01011020,-6,255,RDU,BWI
01011020,-6,389,ONT,SMF
01011020,-8,1069,SAT,LAS
01011020,16,370,PHX,LAX
01011020,2,1099,LAS,OMA
01011020,45,1262,PHX,STL
01011021,19,337,LAX,OAK
01011024,-2,1037,OMA,PHX
01011025,-1,237,DAL,TUL
01011025,-10,889,OAK,ABQ
01011025,-2,397,SMF,LAS
01011025,-2,480,SAN,SMF
01011025,-3,389,SMF,ONT
01011025,-5,288,ALB,BWI
01011025,-5,328,PHX,ABQ
01011025,-8,359,JAN,HOU
01011028,3,308,SJC,LAX
01011029,15,802,CMH,MCO
01011030,-13,708,IND,MSY
01011030,-2,239,HOU,DAL
01011030,-3,337,OAK,LAX
01011030,-4,180,RNO,OAK
01011030,-5,271,SDF,MDW
01011030,-7,1444,MDW,PHX
01011030,-8,239,DAL,HOU
01011030,-9,281,BWI,BUF
01011030,-9,370,LAX,PHX
01011030,0,370,PHX,LAX
01011030,1,223,TUL,MCI
01011030,14,564,SEA,RNO
01011030,5,1044,PHX,MCI
01011030,5,258,LAS,SAN
01011030,8,296,LIT,STL
01011035,-10,1262,PHX,STL
01011035,-6,325,ONT,PHX
01011035,2,296,LIT,DAL
01011035,7,480,SMF,SAN
01011039,5,337,LAX,OAK
01011040,-1,188,SJC,RNO
01011040,-12,313,MCI,OKC
01011040,-21,1011,MCO,BUF
01011040,-4,325,OAK,BUR
01011040,-6,328,ABQ,PHX
01011040,-7,588,BNA,BWI
01011040,2,447,SFO,SAN
01011040,5,325,PHX,ONT
01011040,8,345,RNO,LAS
01011042,-5,236,LAX,LAS
01011044,-14,1180,ABQ,SEA
01011045,-20,1164,AUS,SAN
01011045,-3,258,SAN,LAS
01011045,-3,345,LAS,RNO
01011045,-5,248,DAL,SAT
01011045,0,181,DAL,OKC
01011045,14,446,OAK,SAN
01011045,3,1588,BNA,LAS
01011045,5,543,OAK,PDX
01011047,-4,325,BUR,OAK
01011048,24,303,MSY,HOU
01011048,4,612,BNA,TPA
01011050,-2,395,BNA,MDW
01011050,-3,621,SJC,PHX
01011050,0,562,ELP,DAL
01011050,18,580,ABQ,DAL
01011050,7,304,PHX,SAN
01011052,8,192,HOU,SAT
01011052,8,223,LAS,BUR
01011055,-10,796,LAS,MAF
01011055,-2,342,SNA,SJC
01011055,-3,296,BUR,SJC
01011055,-5,256,PHX,LAS
01011055,-5,460,BHM,TPA
01011055,0,288,BWI,ALB
01011055,0,866,SEA,LAS
01011055,5,925,BWI,FLL
01011055,9,223,BUR,LAS
01011057,-9,440,DTW,STL
01011057,6,333,SJC,ONT
01011058,-2,229,DTW,MDW
01011100,-10,405,MDW,MCI
01011100,-13,337,OAK,LAX
01011100,-23,451,TUS,LAX
01011100,-5,148,HOU,AUS
01011100,-5,487,ABQ,LAS
01011100,-5,671,OAK,SEA
01011100,-7,239,HOU,DAL
01011100,-7,284,CMH,MDW
01011100,-7,393,LIT,HOU
01011100,0,332,MAF,ABQ
01011100,11,224,GEG,SEA
01011100,19,1050,BDL,MCO
01011101,-5,180,RNO,OAK
01011104,10,714,LAX,ELP
01011104,4,453,TUL,HOU
01011104,5,493,SLC,ABQ
01011105,-1,321,MSY,BHM
01011105,-3,347,PHX,ELP
01011105,-4,447,SAN,SFO
01011105,-5,197,LAS,ONT
01011105,-5,564,RNO,SEA
01011105,-7,369,BUR,PHX
01011105,0,341,LBB,AUS
01011105,5,636,ELP,SAN
01011106,-29,1912,BUF,PHX
01011107,29,919,SLC,MCI
01011110,-12,251,MDW,STL
01011110,-2,612,TPA,BNA
01011110,-4,507,SLC,PHX
01011110,-6,1020,PHX,HOU
01011110,0,337,LAX,OAK
01011110,3,256,LAS,PHX
01011110,4,287,GEG,BOI
01011110,50,291,BOI,SLC
01011110,69,723,GEG,OAK
01011113,12,1073,PVD,MCO
01011113,6,351,TUL,STL
01011115,-1,562,DAL,ELP
01011115,-2,687,HOU,STL
01011115,-5,677,HOU,ELP
01011115,-8,451,LAX,TUS
01011115,12,189,DAL,AUS
01011115,14,239,DAL,HOU
01011115,18,325,OAK,BUR
01011115,30,787,BWI,MCO
01011117,5,859,ISP,JAX
01011119,-5,651,PHX,SFO
01011120,-1,248,DAL,SAT
01011120,-12,236,LAS,LAX
01011120,-15,487,MSY,TPA
01011120,-18,1363,MCI,LAX
01011120,-20,601,PHX,RNO
01011120,-4,187,CRP,HOU
01011120,-5,528,ELP,AUS
01011120,-7,457,DTW,BNA
01011120,10,1246,BWI,HOU
01011121,11,369,PHX,BUR
01011123,-2,386,LAS,SJC
01011124,-15,399,BOI,SEA
01011125,-5,303,HOU,MSY
01011125,-6,1797,LAX,BNA
01011125,-7,444,PDX,RNO
01011125,12,307,MDW,CLE
01011125,12,496,SAT,ELP
01011125,8,361,ONT,OAK
01011125,9,368,LAS,SLC
01011128,13,611,BWI,MDW
01011128,25,580,DAL,ABQ
01011130,-1,328,PHX,ABQ
01011130,-13,687,STL,HOU
01011130,-2,328,ABQ,PHX
01011130,-2,440,STL,DTW
01011130,-20,1999,BWI,PHX
01011130,-3,370,LAX,PHX
01011130,-4,271,SDF,MDW
01011130,-8,1342,BWI,AUS
01011130,-8,308,LAX,SJC
01011130,0,148,HOU,AUS
01011130,0,239,DAL,HOU
01011130,0,239,HOU,DAL
01011130,0,256,PHX,LAS
01011130,0,359,HOU,JAN
01011130,2,1848,MCO,PHX
01011133,59,405,MDW,MCI
01011134,9,446,SAN,OAK
01011135,-1,318,JAX,FLL
01011135,-1,666,MDW,JAN
01011135,-12,410,CMH,STL
01011135,-20,1040,SAT,MCO
01011135,0,787,MCO,BWI
01011135,3,775,LBB,LAS
01011135,5,283,BWI,BDL
01011136,43,108,ISP,PVD
01011138,6,342,STL,OMA
01011138,8,471,MSY,BNA
01011139,24,630,PDX,SLC
01011140,-1,395,MDW,BNA
01011140,-13,405,MDW,MCI
01011140,-2,351,STL,TUL
01011140,-27,1671,LAX,MSY
01011140,-4,296,SJC,BUR
01011140,-5,314,BWI,CLE
01011140,-6,237,TUL,DAL
01011140,-7,1333,MCI,SAN
01011140,-7,258,LAS,SAN
01011140,0,371,OAK,SNA
01011140,0,677,ABQ,LAX
01011142,-8,671,SEA,OAK
01011145,-12,843,PHX,SAT
01011145,-2,389,ONT,SMF
01011145,-2,407,OAK,LAS
01011145,-4,371,SNA,OAK
01011145,-5,319,DAL,MAF
01011145,-5,443,BNA,RDU
01011145,-6,397,LAS,SMF
01011145,-7,670,HOU,BNA
01011145,12,276,HOU,HRL
01011145,15,251,STL,MDW
01011145,7,284,MDW,CMH
01011147,-1,288,BWI,ALB
01011150,-10,677,LAX,ABQ
01011150,-10,997,TPA,MDW
01011150,-11,1489,IND,PHX
01011150,-2,220,BWI,ISP
01011150,-3,304,PHX,SAN
01011150,-3,345,LAS,RNO
01011150,2,181,OKC,DAL
01011150,2,325,BUR,OAK
01011150,5,1444,PHX,MDW
01011150,5,1479,SJC,MCI
01011150,5,423,OMA,MDW
01011152,18,543,PDX,OAK
01011154,23,647,PHX,SMF
01011154,7,1407,SAT,BWI
01011155,-2,303,MSY,HOU
01011155,-5,277,ABQ,AMA
01011155,-9,229,MDW,DTW
01011155,-9,296,LIT,STL
01011155,13,487,STL,CLE
01011155,23,588,OAK,SLC
01011155,5,417,SAN,SJC
01011155,8,304,SAN,PHX
01011156,-2,967,BWI,MCI
01011156,36,325,PHX,ONT
01011200,-11,1107,SEA,PHX
01011200,-3,239,HOU,DAL
01011200,-3,495,BWI,SDF
01011200,-32,972,MCO,ISP
01011200,-4,281,BUF,BWI
01011200,-5,188,RNO,SJC
01011200,-5,605,SMF,SEA
01011200,-6,714,LAX,ELP
01011200,-7,224,SEA,GEG
01011200,-7,325,ONT,PHX
01011200,-7,397,SMF,LAS
01011200,0,197,TPA,FLL
01011200,0,373,SMF,LAX
01011200,11,419,HOU,OKC
01011203,5,1999,PHX,BWI
01011205,-5,1235,HOU,LAS
01011205,-5,223,BUR,LAS
01011205,-5,373,LAX,SMF
01011205,0,1099,LAS,OMA
01011205,29,723,OAK,GEG
01011205,7,239,DAL,HOU
01011205,9,1073,MCO,ALB
01011206,-6,337,LAX,OAK
01011206,0,337,OAK,LAX
01011206,6,236,LAS,LAX
01011208,4,303,HOU,MSY
01011210,-10,718,ABQ,MCI
01011210,-11,872,AUS,PHX
01011210,-4,325,OAK,BUR
01011210,-4,390,LAX,RNO
01011210,-5,192,SAT,HOU
01011210,-5,611,MDW,BWI
01011210,-9,663,JAX,BWI
01011210,0,389,SMF,ONT
01011210,14,1156,SLC,STL
01011210,18,663,BWI,JAX
01011210,4,833,OKC,PHX
01011210,47,584,LAS,ELP
01011212,2,325,BUR,OAK
01011212,5,689,SEA,SLC
01011213,2,1140,LAS,MCI
01011215,-12,1242,LAX,AUS
01011215,-2,279,PDX,GEG
01011215,-4,616,BNA,MCO
01011215,0,251,STL,MDW
01011215,0,293,LBB,DAL
01011215,2,180,OAK,RNO
01011215,2,377,BWI,MHT
01011215,6,258,LAS,SAN
01011215,6,478,MCO,BHM
01011215,8,1069,LAS,SAT
01011216,43,370,PHX,LAX
01011218,11,258,SAN,LAS
01011218,25,487,TPA,MSY
01011220,-1,293,DAL,LBB
01011220,-22,1455,PHX,BHM
01011220,-3,496,ELP,SAT
01011220,-7,296,SJC,BUR
01011220,0,1142,MCO,MHT
01011220,0,229,DTW,MDW
01011220,0,236,LAX,LAS
01011220,12,223,ELP,ABQ
01011220,15,407,LAS,OAK
01011220,3,708,MSY,IND
01011220,7,187,HOU,CRP
01011221,18,543,OAK,PDX
01011222,-4,938,MHT,BNA
01011223,45,368,SLC,LAS
01011225,-1,296,DAL,LIT
01011225,-10,1034,TPA,ISP
01011225,-10,569,SJC,PDX
01011225,-20,842,PVD,MDW
01011225,-3,333,ONT,SJC
01011225,-5,803,BNA,ISP
01011225,12,256,PHX,LAS
01011225,20,347,PHX,ELP
01011225,4,446,SAN,OAK
01011225,5,480,SMF,SAN
01011225,8,273,AUS,HRL
01011228,38,108,PVD,ISP
01011230,-15,989,MDW,MCO
01011230,-3,148,AUS,HOU
01011230,-3,239,DAL,HOU
01011230,-4,236,LAS,LAX
01011230,-4,239,HOU,DAL
01011230,-44,2237,ALB,LAS
01011230,-7,714,ELP,LAX
01011230,10,255,BWI,RDU
01011230,2,395,MDW,BNA
01011230,3,342,SJC,SNA
01011230,5,345,RNO,LAS
01011230,5,803,ISP,BNA
01011230,6,370,PHX,LAX
01011230,8,697,SEA,SJC
01011230,9,197,ONT,LAS
01011232,12,197,LAS,ONT
01011232,23,1044,PHX,MCI
01011235,-2,636,SAN,ELP
01011235,-2,829,TPA,CMH
01011235,-22,687,STL,HOU
01011235,-5,321,BHM,MSY
01011235,-5,570,HOU,BHM
01011235,-6,1164,SAN,AUS
01011235,0,1797,BNA,LAX
01011237,10,1262,STL,PHX
01011238,0,737,BWI,STL
01011238,31,361,ONT,OAK
01011239,-2,251,MDW,STL
01011240,-6,564,RNO,SEA
01011240,10,447,SAN,SFO
01011240,3,484,JAX,BNA
01011240,4,229,STL,IND
01011240,5,1977,SEA,BNA
01011243,21,587,RDU,TPA
01011245,-2,192,HOU,SAT
01011245,-2,248,DAL,SAT
01011245,-3,223,MCI,TUL
01011245,-4,217,IAH,DAL
01011245,-5,628,ABQ,SAN
01011245,-8,759,ABQ,HOU
01011245,0,1072,MCI,MCO
01011245,0,1137,PVD,TPA
01011245,0,1301,PHX,MSY
01011245,10,189,AUS,DAL
01011245,12,601,RNO,PHX
01011245,5,479,PDX,SMF
01011245,8,423,MDW,OMA
01011248,16,347,ELP,PHX
01011249,1,828,IND,MCO
01011250,-8,487,MSY,TPA
01011250,0,344,BOI,PDX
01011250,5,276,HOU,HRL
01011251,-9,611,BWI,MDW
01011252,14,358,BUR,SMF
01011253,23,480,SAN,SMF
01011254,15,869,TPA,STL
01011255,-1,447,SFO,SAN
01011255,11,304,PHX,SAN
01011255,4,446,OAK,SAN
01011255,40,628,SAN,ABQ
01011255,5,1751,ONT,BNA
01011258,13,843,SAT,PHX
01011300,-1,666,JAN,MDW
01011300,-10,217,DAL,IAH
01011300,-3,345,RNO,LAS
01011300,-3,361,OAK,ONT
01011300,-6,239,HOU,DAL
01011300,-6,337,LAX,OAK
01011300,0,239,DAL,HOU
01011300,0,580,DAL,ABQ
01011300,1,308,SJC,LAX
01011300,4,328,ABQ,PHX
01011300,5,1069,SAT,LAS
01011300,7,762,LAS,PDX
01011303,-2,361,ONT,OAK
01011303,15,178,MCO,FLL
01011304,0,590,SLC,LAX
